fecha;descripcion;ambito;id_mun;mun
29/06/2020;festa de San Pedro;Local;15053;Muros
16/07/2020;festa da Virxe do Carme;Local;15053;Muros
25/02/2020;Martes de Entroido;Local;15054;Narón
23/11/2020;Día de Narón;Local;15054;Narón
25/02/2020;Martes de Entroido;Local;15055;Neda
08/09/2020;festa local de Neda;Local;15055;Neda
10/07/2020;festa de San Cristovo;Local;15056;Negreira
21/09/2020;festa de Santa Margarita;Local;15056;Negreira
16/07/2020;festa do Carme;Local;15057;Noia
24/08/2020;festa de San Bartolomeu;Local;15057;Noia
25/02/2020;Martes de Entroido;Local;15058;Oleiros
13/04/2020;Luns de Pascua;Local;15058;Oleiros
25/02/2020;Martes de Entroido;Local;15059;Ordes
24/09/2020;festa local de Ordes;Local;15059;Ordes
25/02/2020;Martes de Entroido;Local;15060;Oroso
16/09/2020;festa de Santa Eufemia;Local;15060;Oroso
25/02/2020;Martes de Entroido;Local;15061;Ortigueira
29/07/2020;Día de Santa Marta;Local;15061;Ortigueira
26/02/2020;Mércores de Cinza;Local;15062;Outes
29/09/2020;festividade de San Campio;Local;15062;Outes
25/02/2020;Martes de Entroido;Local;15064;Paderne
18/08/2020;festa local de Paderne;Local;15064;Paderne
13/04/2020;Luns de Pascua;Local;15065;Padrón
06/05/2020;festa de San Xoán do Raio;Local;15065;Padrón
29/06/2020;festa de San Pedro;Local;15066;Pino, O
22/07/2020;festa da Madalena;Local;15066;Pino, O
17/08/2020;Luns do Carme dos Pincheiros;Local;15067;Pobra do Caramiñal, A
21/09/2020;Luns do Nazareno;Local;15067;Pobra do Caramiñal, A
14/09/2020;festa local de Ponteceso;Local;15068;Ponteceso
15/09/2020;festa local de Ponteceso;Local;15068;Ponteceso
08/09/2020;festa das Peras;Local;15069;Pontedeume
10/09/2020;festa das Peras;Local;15069;Pontedeume
25/02/2020;Martes de Entroido;Local;15070;Pontes de García Rodríguez, As
20/07/2020;festa do Carme;Local;15070;Pontes de García Rodríguez, As
24/02/2020;Luns de Entroido;Local;15071;Porto do Son
09/09/2020;festa da Nosa Señora de Loreto;Local;15071;Porto do Son
16/07/2020;Día do Carme;Local;15072;Rianxo
18/09/2020;Venres de Guadalupe;Local;15072;Rianxo
25/02/2020;Martes de Entroido;Local;15073;Ribeira
24/07/2020;festa da Dorna;Local;15073;Ribeira
13/04/2020;Luns de Pascua;Local;15074;Rois
15/05/2020;festa de San Isidro Labrador;Local;15074;Rois
25/02/2020;Martes de Entroido;Local;15075;Sada
16/07/2020;festa da Virxe do Carme;Local;15075;Sada
25/02/2020;Martes de Entroido;Local;15076;San Sadurniño
02/07/2020;festa de Santa Isabel;Local;15076;San Sadurniño
29/06/2020;festa de San Pedro;Local;15077;Santa Comba
30/06/2020;festa de San Antonio;Local;15077;Santa Comba
25/02/2020;Martes de Entroido;Local;15078;Santiago de Compostela
21/05/2020;festa da Ascensión;Local;15078;Santiago de Compostela
13/04/2020;Luns de Pascua;Local;15079;Santiso
14/09/2020;festa de Santa Cruz;Local;15079;Santiso
25/02/2020;Martes de Entroido;Local;15080;Sobrado
29/06/2020;festa de San Pedro;Local;15080;Sobrado
25/02/2020;Martes de Entroido;Local;15081;Somozas, As
27/07/2020;festa local das Somozas;Local;15081;Somozas, As
21/05/2020;festa da Ascensión;Local;15082;Teo
11/11/2020;festa de San Martiño;Local;15082;Teo
15/05/2020;festa de San Cidre;Local;15083;Toques
02/09/2020;festa de San Antolín;Local;15083;Toques
25/02/2020;Martes de Entroido;Local;15084;Tordoia
15/05/2020;festa de San Isidro Labrador;Local;15084;Tordoia
25/02/2020;Martes de Entroido;Local;15085;Touro
13/04/2020;Luns de Pascua;Local;15085;Touro
25/02/2020;Martes de Entroido;Local;15086;Trazo
21/09/2020;festa de San Mateo;Local;15086;Trazo
25/02/2020;Martes de Entroido;Local;15087;Valdoviño
17/08/2020;Día de San Mamede;Local;15087;Valdoviño
25/02/2020;Martes de Entroido;Local;15088;Val do Dubra
07/08/2020;festa do Emigrante;Local;15088;Val do Dubra
21/09/2020;festa do Patio;Local;15089;Vedra
10/12/2020;festa de Santa Baia;Local;15089;Vedra
25/02/2020;Martes de Entroido;Local;15090;Vilasantar
29/06/2020;festa de San Pedro;Local;15090;Vilasantar
24/02/2020;Luns de Entroido;Local;15091;Vilarmaior
25/02/2020;Martes de Entroido;Local;15091;Vilarmaior
22/01/2020;festa de San Vicenzo;Local;15092;Vimianzo
10/08/2020;festas de Verán;Local;15092;Vimianzo
10/07/2020;festa de San Cristovo;Local;15093;Zas
16/07/2020;festa do Carme;Local;15093;Zas
16/07/2020;festa do Carme;Local;15901;Cariño
24/08/2020;festa de San Bartolomeu;Local;15901;Cariño
25/02/2020;Martes de Entroido;Local;15902;Oza-Cesuras
15/05/2020;festa de San Isidro;Local;15902;Oza-Cesuras
25/02/2020;Martes de Entroido;Local;27001;Abadín
28/09/2020;Luns de San Cosme da Montaña;Local;27001;Abadín
25/02/2020;Martes de Entroido;Local;27002;Alfoz
03/08/2020;festa dos Choferes;Local;27002;Alfoz
25/02/2020;Martes de Entroido;Local;27003;Antas de Ulla
08/09/2020;Virxe dos Remedios;Local;27003;Antas de Ulla
25/02/2020;Martes de Entroido;Local;27004;Baleira
12/08/2020;San Cristovo;Local;27004;Baleira
25/02/2020;Martes de Entroido;Local;27005;Barreiros
24/08/2020;San Bartolo;Local;27005;Barreiros
25/06/2020;San Xoán;Local;27006;Becerreá
14/09/2020;Santo Ecce Homo;Local;27006;Becerreá
25/02/2020;Martes de Entroido;Local;27007;Begonte
29/06/2020;San Pedro;Local;27007;Begonte
01/09/2020;San Xil;Local;27008;Bóveda
15/09/2020;Divino Ecce Homo;Local;27008;Bóveda
24/07/2020;festa local;Local;27009;Carballedo
14/08/2020;festa local;Local;27009;Carballedo
25/02/2020;Martes de Entroido;Local;27010;Castro de Rei
10/08/2020;luns seguinte ao día de San Roque e Doce Nome de María en Castro de Ribeiras de Lea;Local;27010;Castro de Rei
25/02/2020;Martes de Entroido;Local;27011;Castroverde
24/07/2020;Santiago Apóstolo;Local;27011;Castroverde
25/02/2020;Martes de Entroido;Local;27012;Cervantes
20/05/2020;Nosa Señora dos Remedios;Local;27012;Cervantes
25/02/2020;Martes de Entroido;Local;27013;Cervo
16/07/2020;Nosa Señora do Carme;Local;27013;Cervo
25/02/2020;Martes de Entroido;Local;27014;Corgo, O
05/10/2020;San Froilán;Local;27014;Corgo, O
25/02/2020;Martes de Entroido;Local;27015;Cospeito
08/09/2020;Nosa Señora da Virxe do Monte;Local;27015;Cospeito
25/08/2020;festa da Empanada;Local;27016;Chantada
08/09/2020;Nosa Señora do Faro;Local;27016;Chantada
19/08/2020;festas patronais de Folgoso;Local;27017;Folgoso do Courel
07/12/2020;Ponte da Constitución;Local;27017;Folgoso do Courel
25/02/2020;Martes de Entroido;Local;27018;Fonsagrada, A
11/09/2020;festas patronais;Local;27018;Fonsagrada, A
16/07/2020;O Carme;Local;27019;Foz
10/08/2020;San Lourenzo;Local;27019;Foz
25/02/2020;Martes de Entroido;Local;27020;Friol
13/07/2020;Luns de Santa Isabel;Local;27020;Friol
25/02/2020;Martes de Entroido;Local;27021;Xermade
10/08/2020;Luns de Santa María;Local;27021;Xermade
25/02/2020;Martes de Entroido;Local;27022;Guitiriz
03/08/2020;despois de Pardiñas;Local;27022;Guitiriz
25/02/2020;Martes de Entroido;Local;27023;Guntín
06/07/2020;luns das festas;Local;27023;Guntín
25/02/2020;Martes de Entroido;Local;27024;Incio, O
15/05/2020;San Eufrasio;Local;27024;Incio, O
25/02/2020;Martes de Entroido;Local;27025;Xove
31/08/2020;festa patronal de Xove;Local;27025;Xove
25/02/2020;Martes de Entroido;Local;27026;Láncara
24/08/2020;Luns de San Roque;Local;27026;Láncara
25/02/2020;Martes de Entroido;Local;27027;Lourenzá
31/08/2020;Luns do Conde Santo;Local;27027;Lourenzá
25/02/2020;Martes de Entroido;Local;27028;Lugo
05/10/2020;San Froilán;Local;27028;Lugo
25/02/2020;Martes de Entroido;Local;27029;Meira
17/08/2020;Xira;Local;27029;Meira
14/09/2020;Luns dos Remedios;Local;27030;Mondoñedo
19/10/2020;As San Lucas;Local;27030;Mondoñedo
14/04/2020;Martes de Pascua;Local;27031;Monforte de Lemos
13/06/2020;San Antonio;Local;27031;Monforte de Lemos
10/07/2020;San Cristovo;Local;27032;Monterroso
29/09/2020;San Miguel;Local;27032;Monterroso
25/02/2020;Martes de Entroido;Local;27033;Muras
29/06/2020;San Pedro de Muras;Local;27033;Muras
25/02/2020;Martes de Entroido;Local;27034;Navia de Suarna
21/09/2020;Virxe das Dores;Local;27034;Navia de Suarna
25/02/2020;Martes de Entroido;Local;27035;Negueira de Muñiz
17/08/2020;Virxe da Veiga;Local;27035;Negueira de Muñiz
25/02/2020;Martes de Entroido;Local;27037;Nogais, As
31/07/2020;festa do Emigrante;Local;27037;Nogais, As
13/05/2020;Nosa Señora de Fátima;Local;27038;Ourol
24/08/2020;Luns de Naseiro;Local;27038;Ourol
25/02/2020;Martes de Entroido;Local;27039;Outeiro de Rei
06/07/2020;Luns de Santa Isabel;Local;27039;Outeiro de Rei
28/01/2020;San Tirso;Local;27040;Palas de Rei
14/09/2020;Ecce Homo;Local;27040;Palas de Rei
25/02/2020;Martes de Entroido;Local;27041;Pantón
24/08/2020;festas locais;Local;27041;Pantón
15/05/2020;San Isidro;Local;27042;Paradela
29/09/2020;San Miguel;Local;27042;Paradela
25/02/2020;Martes de Entroido;Local;27043;Páramo, O
12/06/2020;festas da Primavera;Local;27043;Páramo, O
